2023/05/04 13:03:15.519 => OpenSerial: Com=6 BaudRate=256000, Success=1
2023/05/04 13:03:15.527 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:15.527 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:15.649 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:15.649 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:15.656 => CRadarProtocolProcess::UpdateVersion: CMDID(0x0000) Success
2023/05/04 13:03:15.656 => GetVersion Return: v1.4.4_32772.0
2023/05/04 13:03:20.141 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:20.141 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:20.270 => CRadarProtocolProcess::OpenCmdMode: CMDID(0x00FF) Success
2023/05/04 13:03:20.270 => protocol version = 1, send_recv buffer size = 64
2023/05/04 13:03:20.776 => CRadarProtocolProcess::SendCommand: CMDID(0x0063) Success
2023/05/04 13:03:20.783 => CRadarProtocolProcess::CloseCmdMode: CMDID(0x00FE) Success
2023/05/04 13:03:20.791 => thread information, name=ABDData, tid=41736(0x0000a308)
2023/05/04 13:03:20.791 => thread create success, thread handle=0x000005ac, id=41736, name=ABDData
2023/05/04 13:03:33.310 => State=3, M_D=070, M_S=100, ML_D=075, ML_S=100, R_D=079
2023/05/04 13:03:33.412 => State=3, M_D=030, M_S=100, ML_D=070, ML_S=100, R_D=070
2023/05/04 13:03:33.510 => State=2, M_D=142, M_S=100, ML_D=030, ML_S=100, R_D=077
2023/05/04 13:03:33.612 => State=3, M_D=144, M_S=100, ML_D=142, ML_S=100, R_D=084
2023/05/04 13:03:33.713 => State=3, M_D=095, M_S=100, ML_D=144, ML_S=100, R_D=083
2023/05/04 13:03:33.813 => State=3, M_D=104, M_S=100, ML_D=095, ML_S=100, R_D=084
2023/05/04 13:03:33.913 => State=3, M_D=078, M_S=100, ML_D=104, ML_S=100, R_D=081
2023/05/04 13:03:34.012 => State=3, M_D=030, M_S=100, ML_D=078, ML_S=100, R_D=072
2023/05/04 13:03:34.110 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=064
2023/05/04 13:03:34.213 => State=3, M_D=085, M_S=100, ML_D=030, ML_S=100, R_D=064
2023/05/04 13:03:34.310 => State=3, M_D=137, M_S=100, ML_D=085, ML_S=100, R_D=071
2023/05/04 13:03:34.412 => State=2, M_D=030, M_S=100, ML_D=137, ML_S=100, R_D=063
2023/05/04 13:03:34.510 => State=3, M_D=100, M_S=100, ML_D=030, ML_S=100, R_D=065
2023/05/04 13:03:34.613 => State=3, M_D=083, M_S=100, ML_D=100, ML_S=100, R_D=065
2023/05/04 13:03:34.712 => State=3, M_D=043, M_S=100, ML_D=083, ML_S=100, R_D=060
2023/05/04 13:03:34.813 => State=3, M_D=142, M_S=100, ML_D=043, ML_S=100, R_D=068
2023/05/04 13:03:34.912 => State=3, M_D=111, M_S=100, ML_D=142, ML_S=100, R_D=071
2023/05/04 13:03:35.010 => State=3, M_D=090, M_S=100, ML_D=111, ML_S=100, R_D=071
2023/05/04 13:03:35.110 => State=3, M_D=059, M_S=100, ML_D=090, ML_S=100, R_D=067
2023/05/04 13:03:35.213 => State=3, M_D=058, M_S=100, ML_D=059, ML_S=100, R_D=064
2023/05/04 13:03:35.310 => State=3, M_D=094, M_S=100, ML_D=058, ML_S=100, R_D=065
2023/05/04 13:03:35.412 => State=3, M_D=091, M_S=100, ML_D=094, ML_S=100, R_D=066
2023/05/04 13:03:35.510 => State=3, M_D=108, M_S=073, ML_D=091, ML_S=100, R_D=069
